scenario,contract,finish_week,delay_score,eclo_rows,lower_bound_cost
C,C003,29,9240.0,0,9240.0
C,C003,30,12320.0,0,12320.0
C,C004,26,0.0,2,10.0
C,C004,27,0.0,0,0.0
C,C004,28,0.0,0,0.0
C,C004,29,0.0,0,0.0
C,C004,30,2660.0,0,2660.0
C,C005,10,0.0,0,0.0
C,C005,11,0.0,0,0.0
C,C005,12,15.4,0,15.4
C,C005,13,30.8,0,30.8
C,C005,14,46.2,0,46.2
C,C005,15,61.6,0,61.6
C,C005,16,77.0,0,77.0
C,C005,17,92.4,0,92.4
C,C005,18,107.8,0,107.8
C,C005,19,123.2,0,123.2
C,C005,20,138.6,0,138.6
C,C005,21,154.0,0,154.0
C,C005,22,169.4,0,169.4
C,C005,23,184.8,0,184.8
C,C005,24,200.2,0,200.2
C,C005,25,215.6,0,215.6
C,C005,26,231.0,0,231.0
C,C005,27,246.4,0,246.4
C,C005,28,261.8,0,261.8
C,C005,29,277.2,0,277.2
C,C005,30,292.6,0,292.6
C,C006,27,42.7,2,52.7
C,C006,28,85.4,0,85.4
C,C006,29,128.1,0,128.1
C,C006,30,170.8,0,170.8
C,C007,24,0.0,2,10.0
C,C007,25,0.0,0,0.0
C,C007,26,0.0,0,0.0
C,C007,27,0.0,0,0.0
C,C007,28,3850.0,0,3850.0
C,C007,29,7700.0,0,7700.0
C,C007,30,11550.0,0,11550.0
C,C008,27,0.0,0,0.0
C,C008,28,0.0,0,0.0
C,C008,29,38.5,0,38.5
C,C008,30,77.0,0,77.0
C,C009,20,0.0,2,10.0
C,C009,21,0.0,0,0.0
C,C009,22,0.0,0,0.0
C,C009,23,0.0,0,0.0
C,C009,24,0.0,0,0.0
C,C009,25,0.0,0,0.0
C,C009,26,32.9,0,32.9
C,C009,27,65.8,0,65.8
C,C009,28,98.7,0,98.7
C,C009,29,131.6,0,131.6
C,C009,30,164.5,0,164.5
C,C010,19,0.0,2,10.0
C,C010,20,45.5,0,45.5
C,C010,21,91.0,0,91.0
C,C010,22,136.5,0,136.5
C,C010,23,182.0,0,182.0
C,C010,24,227.5,0,227.5
C,C010,25,273.0,0,273.0
C,C010,26,318.5,0,318.5
C,C010,27,364.0,0,364.0
C,C010,28,409.5,0,409.5
C,C010,29,455.0,0,455.0
C,C010,30,500.5,0,500.5
C,C011,25,0.0,0,0.0
C,C011,26,0.0,0,0.0
C,C011,27,0.0,0,0.0
C,C011,28,420.0,0,420.0
C,C011,29,840.0,0,840.0
C,C011,30,1260.0,0,1260.0
C,C012,23,0.0,0,0.0
C,C012,24,0.0,0,0.0
C,C012,25,0.0,0,0.0
C,C012,26,0.0,0,0.0
C,C012,27,0.0,0,0.0
C,C012,28,1540.0,0,1540.0
C,C012,29,3080.0,0,3080.0
C,C012,30,4620.0,0,4620.0
C,C013,19,0.0,0,0.0
C,C013,20,0.0,0,0.0
C,C013,21,0.0,0,0.0
C,C013,22,84.0,0,84.0
C,C013,23,168.0,0,168.0
C,C013,24,252.0,0,252.0
C,C013,25,336.0,0,336.0
C,C013,26,420.0,0,420.0
C,C013,27,504.0,0,504.0
C,C013,28,588.0,0,588.0
C,C013,29,672.0,0,672.0
C,C013,30,756.0,0,756.0
C,C014,24,0.0,0,0.0
C,C014,25,0.0,0,0.0
C,C014,26,0.0,0,0.0
C,C014,27,0.0,0,0.0
C,C014,28,0.0,0,0.0
C,C014,29,7.0,0,7.0
C,C014,30,14.0,0,14.0
