scenario,week,intruding_activity,full_blocking_component,full_collision_locations,matches_official_display
A,27,A023,A075,PLAT:ALP:S03:WB;PLAT:ALP:S04:WB;SEC:ALP:S03_S04:WB,True
A,27,A025,A075,PLAT:ALP:S03:EB,True
A,27,A036,A075,PLAT:BET:H01:EB;PLAT:BET:S14:EB;SEC:BET:S14_H01:EB,True
A,27,A040,A075,PLAT:BET:H01:EB;PLAT:BET:H02:EB;PLAT:BET:S15:EB;PLAT:BET:S16:EB;SEC:BET:H01_H02:EB;SEC:BET:H02_S15:EB;SEC:BET:S15_S16:EB,True
A,27,A069,A075,PLAT:ALP:H01:WB;PLAT:ALP:H02:WB;PLAT:ALP:S03:WB;PLAT:ALP:S04:WB;SEC:ALP:H01_H02:WB;SEC:ALP:S03_S04:WB;SEC:ALP:S04_H01:WB,True
B,13,A009,A047,PLAT:ALP:S05:EB;PLAT:ALP:S06:EB;SEC:ALP:S05_S06:EB,True
B,13,A047,A009,PLAT:ALP:S05:EB;PLAT:ALP:S06:EB;SEC:ALP:H02_S05:EB;SEC:ALP:S05_S06:EB,True
B,15,A043,A071,PLAT:BET:S15:EB;PLAT:BET:S16:EB;PLAT:BET:S17:EB;SEC:BET:H02_S15:EB;SEC:BET:S15_S16:EB;SEC:BET:S16_S17:EB,True
B,15,A057,A071,PLAT:BET:S15:EB;PLAT:BET:S16:EB;SEC:BET:H02_S15:EB;SEC:BET:S15_S16:EB,True
B,15,A060,A071,PLAT:BET:S15:EB;PLAT:BET:S16:EB;SEC:BET:H02_S15:EB;SEC:BET:S15_S16:EB,True
B,15,A071,A007;A043;A057;A060,PLAT:BET:S15:EB;PLAT:BET:S16:EB;PLAT:BET:S17:EB;SEC:BET:S15_S16:EB;SEC:BET:S16_S17:EB,True
B,16,A019,A008,PLAT:BET:S17:EB;SEC:BET:S16_S17:EB,True
B,16,A008,A007;A019;A057;A060,PLAT:BET:S17:EB,True
B,16,A012,A064,PLAT:BET:S15:WB,True
B,16,A064,A012,PLAT:BET:S15:WB;SEC:BET:S15_S16:WB,True
B,18,A003,A011,PLAT:BET:S15:EB;PLAT:BET:S16:EB;SEC:BET:H02_S15:EB;SEC:BET:S15_S16:EB,True
B,18,A017,A011,PLAT:BET:S15:EB;PLAT:BET:S16:EB;SEC:BET:H02_S15:EB;SEC:BET:S15_S16:EB,True
B,18,A040,A011,PLAT:BET:S15:EB;PLAT:BET:S16:EB;SEC:BET:H02_S15:EB;SEC:BET:S15_S16:EB,True
B,18,A011,A003;A007;A017;A040,PLAT:BET:S15:EB;PLAT:BET:S16:EB;SEC:BET:S15_S16:EB;SEC:BET:S16_S17:EB,True
B,18,A008,A011,PLAT:BET:S17:EB;SEC:BET:S17_S18:EB,True
B,18,A011,A008,PLAT:BET:S17:EB;SEC:BET:S16_S17:EB,True
B,18,A035,A050,PLAT:ALP:S03:WB;PLAT:ALP:S04:WB;SEC:ALP:S02_S03:WB;SEC:ALP:S03_S04:WB,True
B,18,A050,A035,PLAT:ALP:S03:WB;PLAT:ALP:S04:WB;SEC:ALP:S03_S04:WB,True
B,18,A046,A056;A059,PLAT:ALP:S05:WB;PLAT:ALP:S06:WB;SEC:ALP:S05_S06:WB,True
B,18,A056,A046,PLAT:ALP:S05:WB;PLAT:ALP:S06:WB;SEC:ALP:H02_S05:WB;SEC:ALP:S05_S06:WB;SEC:ALP:S06_S07:WB,True
B,18,A059,A046,PLAT:ALP:S06:WB;SEC:ALP:S06_S07:WB,True
B,19,A007,A074,PLAT:BET:H01:EB;PLAT:BET:H02:EB;SEC:BET:H01_H02:EB,True
B,19,A040,A074,PLAT:BET:H01:EB;PLAT:BET:H02:EB;PLAT:BET:S15:EB;PLAT:BET:S16:EB;SEC:BET:H01_H02:EB;SEC:BET:H02_S15:EB;SEC:BET:S15_S16:EB,True
B,19,A057,A074,PLAT:BET:H02:EB;PLAT:BET:S15:EB;PLAT:BET:S16:EB;SEC:BET:H02_S15:EB;SEC:BET:S15_S16:EB,True
B,19,A012,A074,PLAT:BET:H01:WB;PLAT:BET:H02:WB;PLAT:BET:S15:WB;SEC:BET:H01_H02:WB;SEC:BET:H02_S15:WB,True
B,19,A035,A074,PLAT:ALP:S03:WB;PLAT:ALP:S04:WB;SEC:ALP:S03_S04:WB,True
B,19,A046,A059,PLAT:ALP:S06:WB,True
B,19,A059,A046,PLAT:ALP:S06:WB;SEC:ALP:S06_S07:WB,True
B,19,A046,A074,PLAT:ALP:S05:WB;PLAT:ALP:S06:WB;SEC:ALP:S05_S06:WB,True
B,19,A048,A074,PLAT:BET:S13:EB;PLAT:BET:S14:EB;SEC:BET:S13_S14:EB,True
B,19,A059,A074,PLAT:ALP:S06:WB,True
B,19,A065,A074,PLAT:BET:S13:WB,True
B,20,A003,A041,PLAT:BET:S15:EB;PLAT:BET:S16:EB;SEC:BET:H02_S15:EB;SEC:BET:S15_S16:EB,True
B,20,A017,A041,PLAT:BET:S15:EB;PLAT:BET:S16:EB;SEC:BET:H02_S15:EB;SEC:BET:S15_S16:EB,True
B,20,A040,A041,PLAT:BET:S15:EB;PLAT:BET:S16:EB;SEC:BET:H02_S15:EB;SEC:BET:S15_S16:EB,True
B,20,A041,A003;A007;A017;A040,PLAT:BET:S15:EB;PLAT:BET:S16:EB;SEC:BET:S15_S16:EB,True
B,21,A001,A041,PLAT:BET:S15:EB;PLAT:BET:S16:EB;SEC:BET:S15_S16:EB;SEC:BET:S16_S17:EB,True
B,21,A017,A041,PLAT:BET:S15:EB;PLAT:BET:S16:EB;SEC:BET:H02_S15:EB;SEC:BET:S15_S16:EB,True
B,21,A040,A041,PLAT:BET:S15:EB;PLAT:BET:S16:EB;SEC:BET:H02_S15:EB;SEC:BET:S15_S16:EB,True
B,21,A057,A041,PLAT:BET:S15:EB;PLAT:BET:S16:EB;SEC:BET:H02_S15:EB;SEC:BET:S15_S16:EB,True
B,21,A041,A001;A017;A040;A057,PLAT:BET:S15:EB;PLAT:BET:S16:EB;SEC:BET:S15_S16:EB,True
B,21,A013,A046,PLAT:ALP:S05:WB;PLAT:ALP:S06:WB;SEC:ALP:S05_S06:WB,True
B,21,A046,A013,PLAT:ALP:S05:WB;PLAT:ALP:S06:WB;SEC:ALP:S05_S06:WB,True
B,22,A036,A048,PLAT:BET:S14:EB;SEC:BET:S14_H01:EB,True
B,22,A055,A048,PLAT:BET:S13:EB;PLAT:BET:S14:EB;SEC:BET:S13_S14:EB;SEC:BET:S14_H01:EB,True
B,22,A048,A007;A036;A055,PLAT:BET:S13:EB;PLAT:BET:S14:EB;SEC:BET:S13_S14:EB,True
B,22,A008,A019,PLAT:BET:S17:EB,True
B,22,A019,A008,PLAT:BET:S17:EB;SEC:BET:S16_S17:EB,True
B,22,A023,A070,PLAT:ALP:S03:WB;PLAT:ALP:S04:WB;SEC:ALP:S03_S04:WB,True
B,22,A070,A023,PLAT:ALP:S03:WB;PLAT:ALP:S04:WB;SEC:ALP:S03_S04:WB;SEC:ALP:S04_H01:WB,True
B,23,A001,A007;A017;A036;A057,PLAT:BET:S15:EB;PLAT:BET:S16:EB;SEC:BET:S15_S16:EB,True
B,23,A017,A001,PLAT:BET:S15:EB;PLAT:BET:S16:EB;SEC:BET:H02_S15:EB;SEC:BET:S15_S16:EB,True
B,23,A057,A001,PLAT:BET:S15:EB;PLAT:BET:S16:EB;SEC:BET:H02_S15:EB;SEC:BET:S15_S16:EB,True
B,24,A017,A042,PLAT:BET:S15:EB;PLAT:BET:S16:EB;SEC:BET:H02_S15:EB;SEC:BET:S15_S16:EB,True
B,24,A057,A042,PLAT:BET:S15:EB;PLAT:BET:S16:EB;SEC:BET:H02_S15:EB;SEC:BET:S15_S16:EB,True
B,24,A042,A017;A036;A057,PLAT:BET:S15:EB;PLAT:BET:S16:EB;SEC:BET:S15_S16:EB,True
B,25,A023,A050,PLAT:ALP:S03:WB;PLAT:ALP:S04:WB;SEC:ALP:S03_S04:WB,True
B,25,A050,A023,PLAT:ALP:S03:WB;PLAT:ALP:S04:WB;SEC:ALP:S03_S04:WB;SEC:ALP:S04_H01:WB,True
B,26,A008,A011,PLAT:BET:S17:EB;SEC:BET:S17_S18:EB,True
B,26,A011,A008,PLAT:BET:S17:EB;SEC:BET:S16_S17:EB,True
B,26,A011,A017;A036;A040;A073,PLAT:BET:S15:EB;PLAT:BET:S16:EB;SEC:BET:S15_S16:EB;SEC:BET:S16_S17:EB,True
B,26,A017,A011,PLAT:BET:S15:EB;PLAT:BET:S16:EB;SEC:BET:H02_S15:EB;SEC:BET:S15_S16:EB,True
B,26,A040,A011,PLAT:BET:S15:EB;PLAT:BET:S16:EB;SEC:BET:H02_S15:EB;SEC:BET:S15_S16:EB,True
B,26,A073,A011,PLAT:BET:S15:EB;SEC:BET:H02_S15:EB,True
B,26,A013,A020;A023;A066;A070,PLAT:ALP:S05:WB,True
B,26,A020,A013,PLAT:ALP:S05:WB;SEC:ALP:H02_S05:WB,True
B,28,A021,A075,PLAT:BET:S13:WB,True
